Given Shape - True Cost,Optimized Shape - True Cost,Given Shape - Predicted Cost,Optimized Shape - Predicted Cost
-40463.982498152494,-58710.18204780458,-36476.52196645797,-53347.10645917168
-39931.30801885433,-59040.24047398961,-35620.6082758543,-47243.83183107263
-39767.25195126816,-54962.24929441841,-36262.105538340125,-45799.08798597575
-39472.3885803695,-56971.855385250004,-36812.15613032875,-47430.88566956554
-39431.63349183295,-59919.723320660254,-37521.494340831014,-48775.88180891103
-39383.21482018078,-57293.98497793798,-36278.38381746535,-46749.90360032964
-39036.94416721868,-56158.55941964273,-36404.2011650583,-46670.9960838071
-38702.14763550828,-56021.402214458685,-33512.18080527857,-48064.11738078438
-38690.556632721054,-57170.88897982669,-35911.104590265175,-45365.03454812415
-38600.71619820203,-53393.262988085364,-35203.69582156658,-44148.550321649156
