Antenna Configuration,True Cost Before,Predicted Cost Before,True Cost After,Predicted Cost After,Minimum Distance After
0.0,-40463.984375,-2.7861413955688477,-59259.42578125,-4.959236145019531,0.5009146928787231
1.0,-39931.296875,-2.6941263675689697,-71463.4296875,-4.442347049713135,0.5009146928787231
2.0,-39767.265625,-2.763090133666992,-68767.703125,-4.3474836349487305,0.5012192130088806
3.0,-39472.40625,-2.8222227096557617,-73567.9921875,-4.615893363952637,0.5018125176429749
4.0,-39431.63671875,-2.898480176925659,-74720.59375,-4.533346652984619,0.501036524772644
5.0,-39383.21875,-2.764840841293335,-69484.53125,-4.32393217086792,0.5013409852981567
6.0,-39036.94140625,-2.7783656120300293,-71489.8125,-4.525676250457764,0.501508355140686
7.0,-38702.12890625,-2.4674599170684814,-69160.2265625,-4.422828197479248,0.5002440810203552
8.0,-38690.56640625,-2.725356101989746,-67744.5390625,-4.309757232666016,0.5009756088256836
9.0,-38600.6953125,-2.6493067741394043,-62319.69921875,-4.247997760772705,0.501706063747406
